Id_Instal,distance_m,Nom_Carrer,Num_Carrer,Nom_Barri,Nom_Districte,Font,has_measurements,Latitud,Longitud,idTram,Descripció
1509,80.9,Pomaret,9.0,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,INFRAESTRUCTURES FERROVIÀRIES,False,41.402943,2.125148,92.0,Passeig de la Bonanova (Pl. Bonanova a Via Augusta)
4486,83.4,Sant Joan de Malta,47.0,el Clot,Sant Martí,ZONA DE VIANANTS,False,41.408748,2.192507,280.0,Gran Via (Bac de Roda a Pl. de les Glòries)
3510,83.5,Sol,23.0,la Vila de Gràcia,Gràcia,OCI,False,41.401469,2.156483,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
526,84.0,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384925,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
1086,84.0,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384925,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
2446,84.0,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384925,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
208,84.0,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384925,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
388,84.0,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384925,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
1525,84.0,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384925,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
6830,84.1,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384923,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
10368,84.1,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,True,41.384923,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
3686,84.1,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384923,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
9668,84.1,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384923,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
8987,84.1,Born,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,OCI,False,41.384923,2.182772,202.0,Comerç (Passeig Lluís Companys a Marquès de l'Argentera)
5666,84.2,Mejía Lequerica,22.0,la Maternitat i Sant Ramon,Les Corts,"PARCS, PATIS INTERIOR D'ILLA I ZEPQA",False,41.383306,2.126748,48.0,Carles III (Pl. Maria Cristina a Travessera de les Corts)
8086,84.3,Ana María Matute Ausejo,25.0,la Salut,Gràcia,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.414907,2.157376,458.0,Ctra. del Carmel - Ramiro de Maeztu (Gran Vista a Pl. Sanllehy)
10010,84.4,Escipió,51.0,el Putxet i el Farró,Sarrià-Sant Gervasi,NETEJA,True,41.406365,2.144642,100.0,Mitre (Pl. Lesseps a Balmes)
4606,84.7,Nicaragua,117.0,les Corts,Les Corts,ANIMALS,False,41.386079,2.13738,108.0,Numància (Travessera de les Corts a Berlin)
5366,85.4,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376104,2.138506,134.0,Carrer de Sants (Premià a Carles III)
426,85.4,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376104,2.138506,134.0,Carrer de Sants (Premià a Carles III)
9772,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
7729,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
9808,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,True,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
9046,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
9687,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
8766,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
3516,86.4,Sol,8.0,la Vila de Gràcia,Gràcia,OCI,False,41.40178,2.156938,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
9167,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,True,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
9166,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
20028,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
8626,86.4,Tuset,30.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,OCI,False,41.396326,2.151524,102.0,Travessera de Gràcia (Aribau a Via Augusta)
847,86.9,Josep Tarradellas,151.0,les Corts,Les Corts,TRÀNSIT,True,41.391341,2.143644,119.0,Av. Sarrià (Urgell a Diagonal)
659,87.2,Eivissa,21.0,Horta,Horta-Guinardó,OCI,True,41.430429,2.160996,228.0,Tajo (Passeig Maragall a Lisboa)
2746,87.8,Ventura Plaja,28.0,Sants - Badal,Sants-Montjuïc,"PARCS, PATIS INTERIOR D'ILLA I ZEPQA",False,41.374796,2.12587,36.0,Sants - Creu Coberta (Riera Blanca a Gran Via Carles III)
5626,88.0,Vesuvi,35.0,la Prosperitat,Nou Barris,TRÀNSIT,False,41.445836,2.185651,501.0,Ronda de Dalt (Via Júlia a Nus de la Trinitat)
6366,88.3,Doctor Ferran,43.0,Pedralbes,Les Corts,XARXA DE TRANSPORT PÚBLIC,False,41.390225,2.123947,24.0,Pg. Manuel Girona (Pl. Prat de la Riba a Av. Pedralbes)
1804,88.5,Pompeu Fabra,12.0,la Salut,Gràcia,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.414663,2.157505,458.0,Ctra. del Carmel - Ramiro de Maeztu (Gran Vista a Pl. Sanllehy)
1798,88.5,Pompeu Fabra,12.0,la Salut,Gràcia,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.414663,2.157505,458.0,Ctra. del Carmel - Ramiro de Maeztu (Gran Vista a Pl. Sanllehy)
7706,89.2,Trinxant,39.0,el Camp de l'Arpa del Clot,Sant Martí,TRÀNSIT,False,41.414415,2.185702,323.0,Meridiana (Felip II a Aragó)
4227,89.2,Trinxant,39.0,el Camp de l'Arpa del Clot,Sant Martí,TRÀNSIT,False,41.414415,2.185702,323.0,Meridiana (Felip II a Aragó)
10266,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
10406,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
10386,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
6567,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
5130,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
