Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,Data_Instalacio,Data_DesInstalacio,Font
10467,21306,C,Arc del Teatre,15,01,el Raval,01,Ciutat Vella,41.377552,2.174553,02/06/2025,08/09/2025,OCI
10487,43400,C,Blai,42,11,el Poble-sec,03,Sants-Montjuïc,41.374103,2.163451,05/06/2025,26/06/2025,OCI
10488,21306,C,Arc del Teatre,1,01,el Raval,01,Ciutat Vella,41.378242,2.175111,05/06/2025,08/09/2025,OCI
20000,110304,C,Enric Granados,9,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.387709,2.162418,13/06/2025,,OCI
20001,146902,Pl,Glòries Catalanes,36,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.402781,2.187262,19/06/2025,,ZONA DE VIANANTS
20002,110304,C,Enric Granados,30,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.390261,2.159181,26/06/2025,22/01/2026,OCI
20003,43400,C,Blai,42,11,el Poble-sec,03,Sants-Montjuïc,41.374103,2.163451,26/06/2025,,OCI
20004,326904,Pl,Sol,2,31,la Vila de Gràcia,06,Gràcia,41.401519,2.156851,26/06/2025,,OCI
20005,231207,C,Nou de Sant Francesc,5,02,el Barri Gòtic,01,Ciutat Vella,41.379354,2.176872,26/06/2025,02/10/2025,OCI
20006,82107,C,Còdols,11,02,el Barri Gòtic,01,Ciutat Vella,41.37986,2.17784,26/06/2025,08/09/2025,OCI
20007,701289,Jard,Antoni Puigvert,0,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.4043,2.168874,17/07/2025,02/09/2025,OCI
20008,311500,C,Sant Vicenç,34,01,el Raval,01,Ciutat Vella,41.382246,2.164201,19/08/2025,,OCI
20009,701289,Jard,Antoni Puigvert,0,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.4043,2.168874,02/09/2025,,OCI
20010,23403,C,Aribau,187,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.395072,2.15035,08/09/2025,30/10/2025,OCI
20011,344101,Trav,Gràcia,54,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.395973,2.149556,08/09/2025,30/10/2025,OCI
20012,348408,C,Tuset,8,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.39545,2.152752,09/09/2025,30/10/2025,OCI
20013,222501,C,de Moià,8,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.395167,2.1517,09/09/2025,10/10/2025,OCI
20014,107900,C,Eiximenis,21,60,Sant Andreu,09,Sant Andreu,41.441297,2.189413,24/09/2025,13/01/2026,TRÀNSIT
20015,242407,C,Paloma,13,01,el Raval,01,Ciutat Vella,41.38236,2.165018,25/09/2025,,OCI
